"The crop area for breakpoint %1 is outside the image.","The crop area for breakpoint %1 is outside the image."
"Breakpoint %1 asks for the unknown image format ""%2"".","Breakpoint %1 asks for the unknown image format ""%2""."
"The %1 quality of breakpoint %2 must be a whole number from 1 to 100.","The %1 quality of breakpoint %2 must be a whole number from 1 to 100."
"The responsive image data could not be read. Crop the images again and save.","The responsive image data could not be read. Crop the images again and save."
"Custom CSS must not contain ""<"".","Custom CSS must not contain ""<""."
"The location may contain only letters, digits, ""_"" and ""-"", up to 255 characters.","The location may contain only letters, digits, ""_"" and ""-"", up to 255 characters."
"Priority","Priority"
"Select a valid animation effect.","Select a valid animation effect."
"The autoplay timeout must be a whole number of at least %1 ms.","The autoplay timeout must be a whole number of at least %1 ms."
"Preload First N Banners","Preload First N Banners"
"Auto Width","Auto Width"
"Auto Height","Auto Height"
"Loop","Loop"
"Lazy Load Images","Lazy Load Images"
"Autoplay","Autoplay"
"Show Navigation Arrows","Show Navigation Arrows"
"Show Pagination Dots","Show Pagination Dots"
"Slides per page row %1 is invalid: check min width, slides (1-%2) and gap (e.g. 16px).","Slides per page row %1 is invalid: check min width, slides (1-%2) and gap (e.g. 16px)."
"Select valid store views.","Select valid store views."
"Select valid customer groups.","Select valid customer groups."
"Select valid store views and customer groups.","Select valid store views and customer groups."
"The slider to save could not be identified.","The slider to save could not be identified."
"The file could not be uploaded. Please try again.","The file could not be uploaded. Please try again."
"All Store Views","All Store Views"
"Custom","Custom"
"This image is the default source of every responsive crop. Maximum file size: %1 MB.","This image is the default source of every responsive crop. Maximum file size: %1 MB."
"Upload an MP4, M4V or WebM video. Maximum file size: %1 MB.","Upload an MP4, M4V or WebM video. Maximum file size: %1 MB."
"Edit","Edit"
"Delete Banner","Delete Banner"
"All Customer Groups","All Customer Groups"
"None","None"
"Delete Slider","Delete Slider"
"Are you sure you want to delete this slider?","Are you sure you want to delete this slider?"
"Banner Slider","Banner Slider"
"Manage Sliders","Manage Sliders"
"Save Slider","Save Slider"
"Save Banner","Save Banner"
"Banner Slider Configuration","Banner Slider Configuration"
"Images","Images"
"Default Extra Formats","Default Extra Formats"
"Formats a new banner crop is also saved in, besides its JPEG or PNG original. Browsers that support a format load it instead of the original. Leave none selected to save only the original.","Formats a new banner crop is also saved in, besides its JPEG or PNG original. Browsers that support a format load it instead of the original. Leave none selected to save only the original."
"WebP Quality","WebP Quality"
"1 to 100. Higher values give sharper images and larger files.","1 to 100. Higher values give sharper images and larger files."
"AVIF Quality","AVIF Quality"
"Maximum Image Upload Size (MB)","Maximum Image Upload Size (MB)"
"Also limits each crop image the browser prepares.","Also limits each crop image the browser prepares."
"Videos","Videos"
"Privacy-Enhanced Embeds","Privacy-Enhanced Embeds"
"Embed YouTube videos from youtube-nocookie.com and ask Vimeo not to track visitors.","Embed YouTube videos from youtube-nocookie.com and ask Vimeo not to track visitors."
"Maximum Video Upload Size (MB)","Maximum Video Upload Size (MB)"
"Media Clean-up","Media Clean-up"
"Delete Unused Files Daily","Delete Unused Files Daily"
"A daily job deletes banner slider media files no banner, crop, banner content or slider CSS refers to. Before enabling it, run <code>bin/magento banner-slider:media:cleanup --dry-run</code> and check the list of files it would delete.","A daily job deletes banner slider media files no banner, crop, banner content or slider CSS refers to. Before enabling it, run <code>bin/magento banner-slider:media:cleanup --dry-run</code> and check the list of files it would delete."
"Banner Slider: Edit Banner","Banner Slider: Edit Banner"
"Banner Slider: Banners","Banner Slider: Banners"
"Banner Slider: New Banner","Banner Slider: New Banner"
"Configuration","Configuration"
"Banner Slider: Edit Slider","Banner Slider: Edit Slider"
"Banner Slider: Sliders","Banner Slider: Sliders"
"Banner Slider: New Slider","Banner Slider: New Slider"
"Banner Slider: Configuration","Banner Slider: Configuration"
"Banner Information","Banner Information"
"General Settings","General Settings"
"Slider","Slider"
"-- Please Select --","-- Please Select --"
"Banner Type","Banner Type"
"Banners are shown in ascending position.","Banners are shown in ascending position."
"In the store's time zone. Leave empty to show the banner from now on.","In the store's time zone. Leave empty to show the banner from now on."
"In the store's time zone. Leave empty to show the banner without an end.","In the store's time zone. Leave empty to show the banner without an end."
"Image Settings","Image Settings"
"Image","Image"
"Title / Alt Text","Title / Alt Text"
"Add preload link in head for improved LCP performance. Enable only for above-the-fold banner images.","Add preload link in head for improved LCP performance. Enable only for above-the-fold banner images."
"Responsive Images","Responsive Images"
"Video Settings","Video Settings"
"Video URL","Video URL"
"YouTube or Vimeo URL, starting with http:// or https://","YouTube or Vimeo URL, starting with http:// or https://"
"Aspect Ratio","Aspect Ratio"
"Custom Aspect Ratio","Custom Aspect Ratio"
"Width:height in whole numbers from 1 to 100, for example 3:2 or 16:10.","Width:height in whole numbers from 1 to 100, for example 3:2 or 16:10."
"Local Video File","Local Video File"
"When enabled, video will autoplay muted, loop continuously, hide controls, and display Custom Content as overlay.","When enabled, video will autoplay muted, loop continuously, hide controls, and display Custom Content as overlay."
"Link Settings","Link Settings"
"Link URL","Link URL"
"A full http(s) URL, mailto: or tel: link, or a relative URL such as /sale.html.","A full http(s) URL, mailto: or tel: link, or a relative URL such as /sale.html."
"Custom Content","Custom Content"
"Content","Content"
"Go to Sliders","Go to Sliders"
"Are you sure you want to delete selected banners?","Are you sure you want to delete selected banners?"
"Delete Banners","Delete Banners"
"Type","Type"
"From Date","From Date"
"To Date","To Date"
"Modified","Modified"
"Status","Status"
"Slider Information","Slider Information"
"Location","Location"
"Code themes and widgets place the slider by: letters, digits, ""_"" and ""-"". Sliders sharing a location show the one with the lowest priority value.","Code themes and widgets place the slider by: letters, digits, ""_"" and ""-"". Sliders sharing a location show the one with the lowest priority value."
"Lower value = higher priority","Lower value = higher priority"
"Store View","Store View"
"Customer Groups","Customer Groups"
"""ALL GROUPS"" shows the slider to every customer group, including groups created later.","""ALL GROUPS"" shows the slider to every customer group, including groups created later."
"In the store's time zone. Leave empty to show the slider from now on.","In the store's time zone. Leave empty to show the slider from now on."
"In the store's time zone. Leave empty to show the slider without an end.","In the store's time zone. Leave empty to show the slider without an end."
"Slider Options","Slider Options"
"Animation Effect","Animation Effect"
"Autoplay Timeout (ms)","Autoplay Timeout (ms)"
"At least 1000 ms.","At least 1000 ms."
"Add preload links in head for the first N banner images. Set to 0 to disable. Improves LCP for above-the-fold images.","Add preload links in head for the first N banner images. Set to 0 to disable. Improves LCP for above-the-fold images."
"Slides per Page","Slides per Page"
"Add Rule","Add Rule"
"Rules","Rules"
"From each min width (px) upwards, show this many slides at once with this gap (for example 16px or 1rem). Without rules, one slide is shown.","From each min width (px) upwards, show this many slides at once with this gap (for example 16px or 1rem). Without rules, one slide is shown."
"Gap","Gap"
"Custom Styles","Custom Styles"
"Custom CSS","Custom CSS"
"Add custom CSS styles for this slider. Use .banner-slider-{slider_id} as the root selector. The ""<"" character is not allowed.","Add custom CSS styles for this slider. Use .banner-slider-{slider_id} as the root selector. The ""<"" character is not allowed."
"Responsive Breakpoints","Responsive Breakpoints"
"Add Breakpoint","Add Breakpoint"
"Removing every breakpoint of a new slider gives it the default Desktop, Tablet and Mobile breakpoints. Removing a breakpoint also removes the banner crops made for it.","Removing every breakpoint of a new slider gives it the default Desktop, Tablet and Mobile breakpoints. Removing a breakpoint also removes the banner crops made for it."
"e.g., Desktop","e.g., Desktop"
"Display name for the breakpoint (e.g., Desktop, Tablet, Mobile)","Display name for the breakpoint (e.g., Desktop, Tablet, Mobile)"
"e.g., desktop","e.g., desktop"
"Unique within the slider and used in crop file names: up to 50 lowercase letters, digits, ""_"" or ""-"", starting with a letter or digit.","Unique within the slider and used in crop file names: up to 50 lowercase letters, digits, ""_"" or ""-"", starting with a letter or digit."
"Identifier","Identifier"
"(min-width: 1200px)","(min-width: 1200px)"
"CSS media query condition (e.g., ""(min-width: 768px)"" or ""(max-width: 767px)"")","CSS media query condition (e.g., ""(min-width: 768px)"" or ""(max-width: 767px)"")"
"Media Query","Media Query"
"e.g., 1200","e.g., 1200"
"Minimum viewport width in pixels. Used to order breakpoints (higher = larger screens)","Minimum viewport width in pixels. Used to order breakpoints (higher = larger screens)"
"e.g., 1920","e.g., 1920"
"Output image width in pixels for this breakpoint","Output image width in pixels for this breakpoint"
"Auto","Auto"
"Output image height in pixels. Leave empty to calculate automatically based on original aspect ratio","Output image height in pixels. Leave empty to calculate automatically based on original aspect ratio"
"e.g., 10","e.g., 10"
"Order among breakpoints with the same min width. Lower values come first","Order among breakpoints with the same min width. Lower values come first"
"Enable or disable this breakpoint","Enable or disable this breakpoint"
"Are you sure you want to delete selected sliders?","Are you sure you want to delete selected sliders?"
"Delete Sliders","Delete Sliders"
"Customer Group","Customer Group"
"Created","Created"
"%1 × %2 px","%1 × %2 px"
"%1 × auto","%1 × auto"
"%1% larger","%1% larger"
"%1% smaller","%1% smaller"
"%1: choose a crop area before saving; this crop was not changed.","%1: choose a crop area before saving; this crop was not changed."
"%1: the %2 image could not be encoded here, so the server will generate it.","%1: the %2 image could not be encoded here, so the server will generate it."
"%1: the %2 image is larger than the upload limit, so the server will generate it.","%1: the %2 image is larger than the upload limit, so the server will generate it."
"%1: the %2 image would make the form too large to send, so the server will generate it.","%1: the %2 image would make the form too large to send, so the server will generate it."
"%1: the source image could not be loaded here, so the server will generate the crop.","%1: the source image could not be loaded here, so the server will generate the crop."
"Banner Image","Banner Image"
"Changed","Changed"
"Choose a JPEG, PNG, GIF, WebP or AVIF image.","Choose a JPEG, PNG, GIF, WebP or AVIF image."
"Choose a slider with enabled breakpoints to crop the banner image for each of them.","Choose a slider with enabled breakpoints to crop the banner image for each of them."
"Crop Area","Crop Area"
"Crop the banner image, or upload an image of its own for this breakpoint.","Crop the banner image, or upload an image of its own for this breakpoint."
"Crops are saved with the banner. Images this browser cannot prepare are generated on the server.","Crops are saved with the banner. Images this browser cannot prepare are generated on the server."
"Delete Crop","Delete Crop"
"Delete video","Delete video"
"Drag the slider to compare image quality.","Drag the slider to compare image quality."
"Edit Slider","Edit Slider"
"Enter a CSS length such as 16px, 1.5rem, 1em or 2%.","Enter a CSS length such as 16px, 1.5rem, 1em or 2%."
"Enter an http, https, mailto or tel URL, or a relative URL such as /sale.html.","Enter an http, https, mailto or tel URL, or a relative URL such as /sale.html."
"Fallback image","Fallback image"
"Fallback image: %1","Fallback image: %1"
"Generated on save","Generated on save"
"Image Formats","Image Formats"
"Image Source","Image Source"
"Keep the Crop","Keep the Crop"
"Loading the breakpoints of the slider...","Loading the breakpoints of the slider..."
"Media Query:","Media Query:"
"Neither this browser nor the server can encode this format","Neither this browser nor the server can encode this format"
"Own Image","Own Image"
"Preparing the preview...","Preparing the preview..."
"Preparing the responsive images...","Preparing the responsive images..."
"Preview","Preview"
"Quality","Quality"
"Quality Comparison","Quality Comparison"
"Replace Own Image","Replace Own Image"
"Show this crop on the storefront","Show this crop on the storefront"
"Source image of the crop","Source image of the crop"
"Target Size:","Target Size:"
"The breakpoints of the selected slider could not be loaded.","The breakpoints of the selected slider could not be loaded."
"The form is too large to send. Shorten the custom content and try again.","The form is too large to send. Shorten the custom content and try again."
"The image could not be uploaded.","The image could not be uploaded."
"The image is larger than %1.","The image is larger than %1."
"The preview could not be prepared.","The preview could not be prepared."
"The responsive images could not be prepared.","The responsive images could not be prepared."
"The server answer could not be read. Reload the page and try again.","The server answer could not be read. Reload the page and try again."
"The server answered with an error (HTTP %1).","The server answered with an error (HTTP %1)."
"The server could not be reached. Check the connection and try again.","The server could not be reached. Check the connection and try again."
"These are the saved images. Use Preview to compare the current settings.","These are the saved images. Use Preview to compare the current settings."
"This crop will be deleted when you save the banner.","This crop will be deleted when you save the banner."
"Upload Own Image","Upload Own Image"
"Upload the banner image above, or an image of its own for this breakpoint.","Upload the banner image above, or an image of its own for this breakpoint."
"Uploading the image...","Uploading the image..."
"Use Banner Image","Use Banner Image"
"Use only letters, digits, ""_"" or ""-"" (up to 255 characters).","Use only letters, digits, ""_"" or ""-"" (up to 255 characters)."
"Use up to 50 lowercase letters, digits, ""_"" or ""-"", starting with a letter or digit.","Use up to 50 lowercase letters, digits, ""_"" or ""-"", starting with a letter or digit."
"Your admin session has expired. Reload the page and sign in again.","Your admin session has expired. Reload the page and sign in again."
"Your browser does not support the video tag.","Your browser does not support the video tag."
"Nothing was deleted: reload the banner grid and select the banners again.","Nothing was deleted: reload the banner grid and select the banners again."
"Choose the file for ""%1"" with the Upload button.","Choose the file for ""%1"" with the Upload button."
"Upload","Upload"
"Maximum file size","Maximum file size"
"Allowed file types","Allowed file types"
"Browse to find or drag image here","Browse to find or drag image here"
"JPEG Quality","JPEG Quality"
"1 to 100. Used for crops of JPEG images cut on the server.","1 to 100. Used for crops of JPEG images cut on the server."
